Unidad,Sitio,Año,S,N,J,H,L
380,Barra Cosme,2001,13,56,0.935398568,2.399249956,0.914285714
381,Barra Cosme,2001,15,80,0.836766172,2.266004799,0.875
382,Barra Cosme,2001,9,37,0.892509941,1.961044778,0.852852853
383,Barra Cosme,2001,10,97,0.742947701,1.710700301,0.777706186
384,Barra Cosme,2001,12,40,0.817680902,2.031860711,0.828205128
385,Botafuego,2001,7,38,0.811857125,1.579801018,0.761024182
386,Botafuego,2001,10,48,0.858167881,1.976004571,0.850177305
387,Botafuego,2001,22,83,0.853090397,2.636938632,0.9103732
388,Botafuego,2001,7,57,0.685387008,1.333701535,0.681704261
389,Botafuego,2001,4,15,0.954306349,1.322949511,0.771428571
390,Carrizal,2001,15,194,0.73506287,1.990587152,0.821270231
391,Carrizal,2001,13,483,0.590590824,1.514835554,0.669767961
392,Carrizal,2001,15,780,0.438329508,1.187018312,0.549037227
393,Carrizal,2001,15,163,0.798907179,2.163480747,0.854578505
394,Carrizal,2001,14,110,0.788915219,2.081992492,0.847706422
395,Carrizal,2001,13,78,0.867826683,2.225931493,0.886446886
396,Carrizal,2001,19,142,0.7499253,2.208109285,0.84317251
397,Carrizal,2001,16,249,0.649819358,1.801681823,0.766582459
398,Cayo,2001,16,324,0.409485106,1.135333788,0.473817987
399,Cayo,2001,17,282,0.709760889,2.010904021,0.826657581
400,Cayo,2001,13,142,0.699820228,1.795003445,0.767855359
401,Cayo,2001,16,94,0.81337294,2.255148639,0.867536033
402,Cayo,2001,15,260,0.568894814,1.540595715,0.655123255
403,Cobre,2001,13,307,0.807581345,2.071405251,0.844499798
404,Cobre,2001,14,72,0.904138021,2.386072071,0.905320814
405,Cobre,2001,12,60,0.728599096,1.810500739,0.774576271
406,Cobre,2001,11,85,0.80388804,1.927639332,0.811484594
407,Cobre,2001,17,173,0.64862254,1.837686035,0.769323834
408,Pardito Norte,2001,22,267,0.555118659,1.715895341,0.626453775
409,Pardito Norte,2001,9,79,0.67045396,1.473137919,0.694579682
410,Pardito Norte,2001,14,133,0.764757157,2.018237981,0.836978811
