Medición 	Año	Mes 	Perimetro.cm	Diametro.cm	Biomasa.kg	Carbono.kg.C	Area.m2
672	2016	Septiembre	18	5.73	9.161	4.214135433	0.258
673	2016	Septiembre	53	16.87	132.086	60.7597254	2.235
674	2016	Septiembre	91	28.966	502.3	231.0582124	6.59
675	2016	Septiembre	24	7.639	18.65	8.578909905	0.458
676	2016	Septiembre	46.4	14.77	95.091	43.74174038	1.713
677	2016	Septiembre	36	11.459	50.792	23.36434487	1.031
678	2016	Septiembre	44.5	14.165	85.757	39.44824763	1.576
679	2016	Septiembre	41	13.051	70.042	32.21951796	1.338
680	2016	Septiembre	72	22.918	281.605	129.5384593	4.125
681	2016	Septiembre	52	16.552	126.013	57.96614125	2.152
682	2016	Septiembre	45	14.324	88.158	40.55255763	1.611
683	2016	Septiembre	38	12.096	58.052	26.70394322	1.149
684	2016	Septiembre	49.5	15.756	111.569	51.32152765	1.95
685	2016	Septiembre	35.5	11.3	49.067	22.57066677	1.003
686	2016	Septiembre	18.7	5.952	10.067	4.630743634	0.278
687	2016	Septiembre	76	24.191	321.857	148.0541261	4.596
688	2016	Septiembre	67.1	21.359	236.594	108.8332193	3.583
689	2016	Septiembre	96.1	30.59	574.754	264.3867094	7.349
690	2016	Septiembre	56.3	17.921	153.348	70.54014894	2.522
691	2016	Septiembre	22	7.003	15.042	6.919210975	0.385
692	2016	Septiembre	22	7.003	15.042	6.919210975	0.385
693	2016	Septiembre	64.3	20.467	212.942	97.95338367	3.29
694	2016	Septiembre	72.5	23.077	286.462	131.7726691	4.183
695	2016	Septiembre	78	24.828	343.193	157.8686488	4.841
696	2016	Septiembre	41.5	13.21	72.172	33.19915084	1.371
697	2016	Septiembre	70	22.282	262.669	120.827944	3.899
698	2016	Septiembre	51.5	16.393	123.04	56.5986134	2.111
699	2016	Septiembre	26.7	8.499	24.271	11.16450456	0.567
700	2016	Septiembre	46.2	14.706	94.081	43.27732912	1.699
701	2016	Septiembre	19.5	6.207	11.165	5.135771032	0.303
702	2016	Septiembre	39.5	12.573	63.88	29.38471967	1.242
703	2016	Septiembre	20	6.366	11.885	5.467329495	0.318
704	2016	Septiembre	12	3.82	3.364	1.5473444	0.115
705	2016	Septiembre	10.5	3.342	2.418	1.112471482	0.088
706	2016	Septiembre	13	4.138	4.099	1.885750155	0.134
707	2016	Septiembre	9	2.865	1.652	0.760087113	0.064
708	2016	Septiembre	24	7.639	18.65	8.578909905	0.458
709	2016	Septiembre	19	6.048	10.471	4.816485715	0.287
710	2016	Septiembre	22.5	7.162	15.901	7.314306092	0.403
711	2016	Septiembre	10	3.183	2.144	0.986120821	0.08
712	2016	Septiembre	12	3.82	3.364	1.5473444	0.115
713	2016	Septiembre	33	10.504	40.966	18.84421602	0.867
714	2016	Septiembre	8.5	2.706	1.435	0.659970151	0.057
715	2016	Septiembre	38	12.096	58.052	26.70394322	1.149
716	2016	Septiembre	28	8.913	27.296	12.55618264	0.624
717	2016	Septiembre	46	14.642	93.078	42.81586582	1.684
718	2016	Septiembre	33.5	10.663	42.517	19.55761294	0.893
719	2016	Septiembre	12	3.82	3.364	1.5473444	0.115
720	2016	Septiembre	20	6.366	11.885	5.467329495	0.318
721	2016	Septiembre	24.5	7.799	19.625	9.027334249	0.478
722	2016	Septiembre	46.5	14.801	95.598	43.97505337	1.721
723	2016	Septiembre	38.5	12.255	59.958	27.58059247	1.18
724	2016	Septiembre	25	7.958	20.629	9.489424833	0.497
725	2016	Septiembre	11.5	3.661	3.028	1.392882533	0.105
726	2016	Septiembre	35	11.141	47.377	21.79326332	0.975
727	2016	Septiembre	44.5	14.165	85.757	39.44824763	1.576
728	2016	Septiembre	19.5	6.207	11.165	5.135771032	0.303
729	2016	Septiembre	41	13.051	70.042	32.21951796	1.338
730	2016	Septiembre	72	22.918	281.605	129.5384593	4.125
731	2016	Septiembre	65	20.69	218.716	100.6095098	3.362
732	2016	Septiembre	66.5	21.168	231.401	106.4443009	3.519
733	2016	Septiembre	35	11.141	47.377	21.79326332	0.975
734	2016	Septiembre	19	6.048	10.471	4.816485715	0.287
735	2016	Septiembre	27	8.594	24.95	11.4770425	0.58
736	2016	Septiembre	35.2	11.204	48.048	22.10227866	0.986
737	2016	Septiembre	20	6.366	11.885	5.467329495	0.318
738	2016	Septiembre	14	4.456	4.923	2.264709515	0.156
739	2016	Septiembre	35	11.141	47.377	21.79326332	0.975
740	2016	Septiembre	20	6.366	11.885	5.467329495	0.318
741	2016	Septiembre	19.5	6.207	11.165	5.135771032	0.303
742	2016	Septiembre	42	13.369	74.34	34.19630053	1.404
743	2016	Septiembre	42	13.369	74.34	34.19630053	1.404
744	2016	Septiembre	60	19.099	179.467	82.55471232	2.865
